,file,speaker,dialog
30,Ses04F_impro01,Ses04F_impro01_F012,I'm not starting over again. No I have done this five times. I am not starting over again.
31,Ses04F_impro01,Ses04F_impro01_M017,"and, uh, throw it away. I need you to fill out a new form."
32,Ses04F_impro01,Ses04F_impro01_M018,Ma'am you're going to have- you- look. You really- you really
33,Ses04F_impro01,Ses04F_impro01_F013,Look can you not just help me?
34,Ses04F_impro01,Ses04F_impro01_M019,I can't help you right now. Do you understand that?
35,Ses04F_impro01,Ses04F_impro01_F014,I mean look she's -she's perfectly nice. She doesn't mind waiting for a couple of minutes because I've been here all day. I have a job to get back to. I have kids to pick up from school. I can't just stay here.
36,Ses04F_impro01,Ses04F_impro01_M020,Look I'm going on my lunch break right now. So you're just going to have to take this form and go to the back of the line.
37,Ses04F_impro01,Ses04F_impro01_F015,No. No. No. No. You have to help me.
38,Ses04F_impro01,Ses04F_impro01_M021,like I said before right now.
39,Ses04F_impro01,Ses04F_impro01_F016,This is your job is to help people like me who need to get a new license.
40,Ses04F_impro01,Ses04F_impro01_F017,That's like the whole purpose of you being here.
41,Ses04F_impro01,Ses04F_impro01_M022,Ma'am you are testing my patience. Do you understand me?
42,Ses04F_impro01,Ses04F_impro01_F018,I- I- I'm testing your patience?
43,Ses04F_impro01,Ses04F_impro01_M023,You're testing my goddamn patience.
44,Ses04F_impro01,Ses04F_impro01_F019,I'm testing your patience?
45,Ses04F_impro01,Ses04F_impro01_M024,"I work in this fucking building all day. And I'm sick of it, okay?"
46,Ses04F_impro01,Ses04F_impro01_F020,Yeah. You have to be here all day.
47,Ses04F_impro01,Ses04F_impro01_F021,I don't need to be. I need to go and do other things with my time. Okay.
48,Ses04F_impro01,Ses04F_impro01_F022,"Please just put the form in, take the picture, let me get my license and get the hell out of here. Please."
49,Ses04F_impro01,Ses04F_impro01_M025,I've walked away already. I'm not here anymore.
50,Ses04F_impro02,Ses04F_impro02_M000,So you're leaving tomorrow.
51,Ses04F_impro02,Ses04F_impro02_F000,Yeah. They just called.
52,Ses04F_impro02,Ses04F_impro02_M001,This is really-this is unfair.
53,Ses04F_impro02,Ses04F_impro02_F001,I know.
54,Ses04F_impro02,Ses04F_impro02_M002,I don't see [BREATHING]
55,Ses04F_impro02,Ses04F_impro02_F002,I don't know what to say. I don't want to go but I don't have a lot of choice.
56,Ses04F_impro02,Ses04F_impro02_M003,"I mean we both knew that this was going to happen. It's just that I feel that, you know, I don't want Susie growing up without a mother."
57,Ses04F_impro02,Ses04F_impro02_M004,"And, uh, I'm afraid that if you, you know, when you leave, you won't come back."
58,Ses04F_impro02,Ses04F_impro02_F003,I'm going to come back. I need you to believe that.
59,Ses04F_impro02,Ses04F_impro02_M005,You don't know that.
60,Ses04F_impro02,Ses04F_impro02_F004,I need you to believe that too. How am I supposed to believe everything's going to be okay if you don't?
61,Ses04F_impro02,Ses04F_impro02_M006,"I'll believe it, but- I'll believe it but it- I don't know that that's going to happen."
62,Ses04F_impro02,Ses04F_impro02_F005,Well you have to have faith because I don't have a choice and I have to go.
63,Ses04F_impro02,Ses04F_impro02_M007,You do have a choice. You don't have to go.
64,Ses04F_impro02,Ses04F_impro02_F006,Do you think I want to leave you?
65,Ses04F_impro02,Ses04F_impro02_M008,You have a choice.
66,Ses04F_impro02,Ses04F_impro02_F007,I have to do this. I don't want to leave. Do you think I want to miss seeing her grow up?
67,Ses04F_impro02,Ses04F_impro02_M009,I know. It's just you don't have to do this for a living you know.
68,Ses04F_impro02,Ses04F_impro02_M010,You're a smart person. There are other things you can do.
69,Ses04F_impro02,Ses04F_impro02_F008,Look we both knew what this meant when I signed on
70,Ses04F_impro02,Ses04F_impro02_F009,And now- and now it's really shitty timing but now I have to go.
71,Ses04F_impro02,Ses04F_impro02_F010,I mean I'm the one who has to leave here. I'm the one who has to leave the two of you. At least you get to be together.
72,Ses04F_impro02,Ses04F_impro02_M011,It's just not going to work out without you here.
73,Ses04F_impro02,Ses04F_impro02_F011,What's that supposed to mean?
74,Ses04F_impro02,Ses04F_impro02_M012,I mean we can't-we're not a complete family without you here.
75,Ses04F_impro02,Ses04F_impro02_F012,Well I'll come back. What is that supposed to mean? You're not willing to wait for me to come back?
76,Ses04F_impro02,Ses04F_impro02_M013,Of course I'm going to wait. I just- I just don't like the idea of this happening because this isn't the last time this is going to happen. You're going to go on more tours and stuff. I just- I can't-
77,Ses04F_impro02,Ses04F_impro02_M014,I can't deal with this emotionally.
78,Ses04F_impro02,Ses04F_impro02_F013,What do you want me to do?
79,Ses04F_impro02,Ses04F_impro02_M015,I want you to leave. I want you to leave the service.
80,Ses04F_impro02,Ses04F_impro02_F014,Well I can't very well do it today. I still have to leave tomorrow.
81,Ses04F_impro02,Ses04F_impro02_M016,You can do it today. You don't have to do anything. You don't have to do anything you don't want to do.
82,Ses04F_impro02,Ses04F_impro02_F015,"You're not making this any easier for me, you know. I'm the one who has to go and you're really not helping."
83,Ses04F_impro02,Ses04F_impro02_M017,Look I'm just telling you that you don't have to go.
84,Ses04F_impro02,Ses04F_impro02_F016,I do have to go. And I need to know that you're here waiting for me and that you believe that I'm coming back.
85,Ses04F_impro02,Ses04F_impro02_M018,That's all I'm saying... No you don't.
86,Ses04F_impro02,Ses04F_impro02_F017,Thanks that helps.
87,Ses04F_impro02,Ses04F_impro02_M019,It's just really unfair. This is- this is bullshit.
88,Ses04F_impro02,Ses04F_impro02_F018,I feel much better now.
89,Ses04F_impro02,Ses04F_impro02_M020,"You're acting like, you know, you're the one who's going all through, you know, all this shit and it's really- it's really not."
90,Ses04F_impro02,Ses04F_impro02_F019,I know I'm leaving you here with all the responsibility but at least you get to be with her.
91,Ses04F_impro02,Ses04F_impro02_M021,Yeah. Of course I do because I didn't enlist in this stupid thing. Why don't you just get out now and then-
92,Ses04F_impro02,Ses04F_impro02_F020,I will but I can't right now.
93,Ses04F_impro02,Ses04F_impro02_M022,Yes- You don't have to go. What are they going to do? Huh? Put a gun to your head?
94,Ses04F_impro02,Ses04F_impro02_F021,You know- you know how this works. I have to go.
95,Ses04F_impro02,Ses04F_impro02_M023,Then go. We'll be here when you get back.
96,Ses04F_impro02,F:,it?
97,Ses04F_impro02,Ses04F_impro02_F022,That's how you want to leave it?
98,Ses04F_impro02,Ses04F_impro02_M024,"I don't know how else to leave it. What, do you want me to lie to you?"
99,Ses04F_impro02,Ses04F_impro02_M025,You want me tell you that I'm okay with it?
100,Ses04F_impro02,Ses04F_impro02_F023,I want you to be okay with it as much as you can be. I mean it's not a great situation but we don't have an option here.
101,Ses04F_impro02,Ses04F_impro02_M026,Well I can't be okay with it the same way you can't not go. It just doesn't work that way.
102,Ses04F_impro02,Ses04F_impro02_F024,Fine.
103,Ses04F_impro03,Ses04F_impro03_F000,I have something to tell you.
104,Ses04F_impro03,Ses04F_impro03_M000,What? You seem so excited.
105,Ses04F_impro03,Ses04F_impro03_F001,It's really exciting. Don't you want to guess?
106,Ses04F_impro03,Ses04F_impro03_M001,"Uh, you got a new car, a new house. Uh, a dog."
107,Ses04F_impro03,F:,better. Better.
108,Ses04F_impro03,Ses04F_impro03_F002,Look.
109,Ses04F_impro03,Ses04F_impro03_M002,Are you serious? You're getting married.
110,Ses04F_impro03,Ses04F_impro03_F003,Yes. He finally proposed. I'm getting married.
111,Ses04F_impro03,Ses04F_impro03_M003,Holy shit that's amazing.
112,Ses04F_impro03,Ses04F_impro03_F004,I know. I'm so-
113,Ses04F_impro03,Ses04F_impro03_M004,Congratulations.
114,Ses04F_impro03,Ses04F_impro03_F005,Thank you. [LAUGHTER]
115,Ses04F_impro03,Ses04F_impro03_M005,"I'm invited, right."
116,Ses04F_impro03,Ses04F_impro03_F006,You think. [LAUGHTER]
117,Ses04F_impro03,Ses04F_impro03_M006,"I'll have to, uh, I'll have to get myself a new tux. My, uh, the old one is a little worn and dirty. That's awesome. Where are you guys going to have it?"
118,Ses04F_impro03,Ses04F_impro03_F007,"Well actually we were just talking about today and I don't really want to do like the traditional church thing, you know. So we are going to get married in the meadow."
119,Ses04F_impro03,Ses04F_impro03_F008,Do you remember up by Yosemite? Yeah.
120,Ses04F_impro03,M:,meadow?
121,Ses04F_impro03,Ses04F_impro03_M007,"Well, that's- that's- that's beautiful. That's a beautiful place to do it."
122,Ses04F_impro03,Ses04F_impro03_F009,We're going to get married in the middle of a meadow. [LAUGHTER]
123,Ses04F_impro03,Ses04F_impro03_F010,"Everybody's going to come up. We're going to stay in all the pretty cabins up there and, um, everybody's going to have, you know, really flowery sort of naturey stuff."
124,Ses04F_impro03,Ses04F_impro03_F011,So pretty.
125,Ses04F_impro03,Ses04F_impro03_M008,That's great
126,Ses04F_impro03,Ses04F_impro03_M009,I hope- they're not like
127,Ses04F_impro03,Ses04F_impro03_F012,Very Midsummer Night's wedding.
128,Ses04F_impro03,Ses04F_impro03_M010,"Right. Nice. That's great. I hope while we're up there nobody gets attacked by any, like, bears or wolves or anything."
129,Ses04F_impro03,Ses04F_impro03_F013,Thanks. Thanks a lot. You're really helping the Excitement here. I hope no one dies.
130,Ses04F_impro03,Ses04F_impro03_M011,"Well no, I am- I'm trying to be positive"
131,Ses04F_impro03,Ses04F_impro03_M012,I'm trying to be positive. I'm trying to say I hope that doesn't happen.
132,Ses04F_impro03,Ses04F_impro03_F014,"Okey Well- well-, you know what? I was hoping that you would help"
133,Ses04F_impro03,Ses04F_impro03_M013,We're going to be in the middle of the wilderness. These kind of things happen
134,Ses04F_impro03,Ses04F_impro03_F015,plan everything. So then you can make sure that no one gets attacked by bears.
135,Ses04F_impro03,M:,
136,Ses04F_impro03,Ses04F_impro03_M014,Yeah. I'll help plan.
137,Ses04F_impro03,Ses04F_impro03_F016,Yeah?
138,Ses04F_impro03,Ses04F_impro03_M015,Yeah.
139,Ses04F_impro03,Ses04F_impro03_F017,Really?
140,Ses04F_impro03,Ses04F_impro03_M016,Sure.
141,Ses04F_impro03,Ses04F_impro03_F018,"Okay. It's going to be in, like, six months. So we don't have a really long time."
142,Ses04F_impro03,Ses04F_impro03_M017,"I'm thinking greens, lots of greens. Greens and browns. We're nature."
143,Ses04F_impro03,Ses04F_impro03_F019,Okay.
144,Ses04F_impro03,Ses04F_impro03_F020,No. No browns.
145,Ses04F_impro03,Ses04F_impro03_M018,Why not browns?
146,Ses04F_impro03,Ses04F_impro03_F021,It's a wedding.
147,Ses04F_impro03,Ses04F_impro03_M019,"It's a light brown, tanish."
148,Ses04F_impro03,Ses04F_impro03_F022,Blue for the sky.
149,Ses04F_impro03,Ses04F_impro03_F023,Come on.
150,Ses04F_impro03,Ses04F_impro03_M020,I just think browns are really what you want to go with. I mean I think there's more contrast between brown and green than there is-
151,Ses04F_impro03,F:,"yeah, but"
152,Ses04F_impro03,Ses04F_impro03_F024,who- Who's getting married though?
153,Ses04F_impro03,Ses04F_impro03_M021,I know but you just asked me to-
154,Ses04F_impro03,Ses04F_impro03_F025,to help plan because I'm getting married. [LAUGHTER]
155,Ses04F_impro03,M:,I know.
156,Ses04F_impro03,Ses04F_impro03_M022,So we're going to go greens and browns.
157,Ses04F_impro03,Ses04F_impro03_F026,No.
158,Ses04F_impro03,Ses04F_impro03_M023,"Come on. Please will you do the greens and browns, just the browns for me?"
159,Ses04F_impro03,F:,on.
160,Ses04F_impro03,Ses04F_impro03_M024,Just for me. Come on. I'm your best friend.
161,Ses04F_impro03,Ses04F_impro03_F027,It's not your wedding. You can-
162,Ses04F_impro03,Ses04F_impro03_M025,I'm your best friend
163,Ses04F_impro03,Ses04F_impro03_F028,You know what? You know what?
164,Ses04F_impro03,Ses04F_impro03_M026,Give me the browns.
165,Ses04F_impro03,Ses04F_impro03_F029,"You can't ruin my mood today. If you want to wear a brown tux, you go ahead and wear a brown tux"
166,Ses04F_impro03,M:,not trying to ruin your mood.
167,Ses04F_impro03,Ses04F_impro03_M027,Okay. Fine. So green and what?
168,Ses04F_impro03,Ses04F_impro03_F030,but bridesmaids aren't wearing brown and I'm not wearing brown.
169,Ses04F_impro03,F:,
170,Ses04F_impro03,Ses04F_impro03_M028,Blue?
171,Ses04F_impro03,Ses04F_impro03_F031,Maybe
172,Ses04F_impro03,Ses04F_impro03_M029,"Okay, fine. Greens and blues."
173,Ses04F_impro03,Ses04F_impro03_F032,I like blue.
174,Ses04F_impro03,Ses04F_impro03_M030,Greens and blues and maybe a little light yellow?
175,Ses04F_impro03,Ses04F_impro03_F033,That would work.
176,Ses04F_impro03,Ses04F_impro03_M031,Yeah?
177,Ses04F_impro03,Ses04F_impro03_F034,"Throw in a little- little, uh, trim in yellow. Maybe some yellow flowers."
178,Ses04F_impro03,Ses04F_impro03_M032,"Okay. That sounds good. Um, and, uh, we're going to get like a five, uh, story cake, right?"
179,Ses04F_impro03,Ses04F_impro03_F035,"Yeah. I hadn't actually thought about the cake yet, but"
180,Ses04F_impro03,Ses04F_impro03_M033,"I mean, you know, you're going to have at least, like, two hundred and fifty people come. So we're going to need, you know, just a huge buffet."
181,Ses04F_impro03,F:,
182,Ses04F_impro03,Ses04F_impro03_F036,Yes.
183,Ses04F_impro03,Ses04F_impro03_M034,"Fried chicken, mashed potatoes."
184,Ses04F_impro03,Ses04F_impro03_F037,See this is why you have to help.
185,Ses04F_impro03,Ses04F_impro03_F038,because you're going to take care of everything. You're going to think of all the details that I forget.
186,Ses04F_impro03,Ses04F_impro03_M035,Well I can't be in charge of this. I mean I got things I got to do.
187,Ses04F_impro03,Ses04F_impro03_F039,Well right but you can help.
188,Ses04F_impro03,Ses04F_impro03_M036,Well this is really exciting. I mean- I just- I couldn't be happier right now.
189,Ses04F_impro03,Ses04F_impro03_M037,I'm thrilled. God.
190,Ses04F_impro03,Ses04F_impro03_F040,Ha ha ha.
191,Ses04F_impro03,Ses04F_impro03_F041,Ha ha.
192,Ses04F_impro03,Ses04F_impro03_M038,Just ecstatic. I can't believe you're my best friend
193,Ses04F_impro03,Ses04F_impro03_F042,Just couldn't be any cooler.
194,Ses04F_impro03,Ses04F_impro03_M039,"You're my best friend, we're growing up and now you're getting married. that's amazing"
195,Ses04F_impro03,Ses04F_impro03_F043,I know. I've been waiting forever. I can't believe it's finally happening.
196,Ses04F_impro03,Ses04F_impro03_M040,Wow. I just- I- I- I feel like I'm going to faint.
197,Ses04F_impro03,Ses04F_impro03_M041,I'm so- all the blood
198,Ses04F_impro03,Ses04F_impro03_F044,You don't look like you're going to faint.
199,Ses04F_impro03,Ses04F_impro03_M042,"has just rushed to my head, and I, and I mean honestly."
200,Ses04F_impro03,F:,
201,Ses04F_impro03,Ses04F_impro03_M043,I'm getting a little weak in the knees.
202,Ses04F_impro03,Ses04F_impro03_F045,So- So when are you getting married Mr. Excited?
203,Ses04F_impro03,Ses04F_impro03_M044,"You know that I've never-I- I have a long run of bad relationships but, you know, I mean, you got to work through it. It's fine."
204,Ses04F_impro03,Ses04F_impro03_F046,What about Kathy? I mean you guys have been dating for a while.
205,Ses04F_impro03,Ses04F_impro03_M045,"Yeah, but"
206,Ses04F_impro03,Ses04F_impro03_F047,You haven't ruined it yet.
207,Ses04F_impro03,Ses04F_impro03_M046,"Yeah. I know but it's, you know, maybe we'll get married. I don't know. Should be pretty-"
208,Ses04F_impro03,F:,we'll get married.
209,Ses04F_impro03,Ses04F_impro03_F048,You really like
210,Ses04F_impro03,Ses04F_impro03_M047,"I don't know. Okay. I mean gosh. There's just- look there's a lot of pressure in getting married, okay."
211,Ses04F_impro03,Ses04F_impro03_F049,What? She could be just as excited as I am right now.
212,Ses04F_impro03,Ses04F_impro03_F050,You could make her that excited. You really like her. You guys have been together for a really long time now.
213,Ses04F_impro03,Ses04F_impro03_M048,"Oh, I've made her that excited."
214,Ses04F_impro03,Ses04F_impro03_F051,[LAUGHTER] That's more than I needed to know.
215,Ses04F_impro03,Ses04F_impro03_M049,What? You've heard me talk about it before.
216,Ses04F_impro03,Ses04F_impro03_F052,[laughter]
217,Ses04F_impro03,Ses04F_impro03_M050,I'm a monster in bed.
218,Ses04F_impro04,Ses04F_impro04_M000,Hey. Get out of the way. I'm watching TV.
219,Ses04F_impro04,Ses04F_impro04_F000,That's helpful.
220,Ses04F_impro04,Ses04F_impro04_F001,I just don't think I can do this anymore. It's been a really long time and it's not like I'm not trying.
221,Ses04F_impro04,Ses04F_impro04_M001,Well I guess you're not trying hard enough.
222,Ses04F_impro04,Ses04F_impro04_F002,I am try- it's been three years
223,Ses04F_impro04,Ses04F_impro04_F003,and I have gone everywhere I can think of. I have given resumes. I have done interviews. I've tried to pull in favors. I've asked everybody I know for help. I don't know what else to do.
224,Ses04F_impro04,Ses04F_impro04_M002,"Just, I don't know, maybe you're not smart enough."
225,Ses04F_impro04,Ses04F_impro04_M003,I mean I don't know just go out and keep trying. Just-
226,Ses04F_impro04,Ses04F_impro04_M004,I don't know.
227,Ses04F_impro04,Ses04F_impro04_F004,"Okay but I've been trying for three years. Three years and I haven't gotten a bite much less actually gotten hired, and I am smart enough. Thank you very much."
228,Ses04F_impro04,Ses04F_impro04_M005,"Hey. Look, I mean- you know."
229,Ses04F_impro04,Ses04F_impro04_F005,I'm really good at what I do. I just don't know how to make someone else see that.
230,Ses04F_impro04,Ses04F_impro04_M006,Look bananas don't grow overnight. Okay.
231,Ses04F_impro04,Ses04F_impro04_F006,What? Who says that? Bananas don't grow overnight.
232,Ses04F_impro04,Ses04F_impro04_M007,You need that- Time-
233,Ses04F_impro04,Ses04F_impro04_M008,"You know- You need to just- you need, I mean it takes time to get a good job. I mean-"
234,Ses04F_impro04,Ses04F_impro04_F007,Okay. I think three years is a little excessive.
235,Ses04F_impro04,Ses04F_impro04_M009,"look at me, like, you know. I mean, Hey, I- it took me, you know, like six years to get where I am now. I mean-"
236,Ses04F_impro04,Ses04F_impro04_F008,"Yeah but you weren't unemployed for three years trying to find any job. I mean at this point I'm going to go drive a cab or, you know, work at the gas station or something. I don't even- I don't know what to do anymore."
237,Ses04F_impro04,Ses04F_impro04_M010,I don't know. I mean whatever.
238,Ses04F_impro04,Ses04F_impro04_F009,Nothing I'm trying seems to work. Just-
239,Ses04F_impro04,Ses04F_impro04_M011,Clearly.
240,Ses04F_impro04,Ses04F_impro04_F010,Okay that's helpful. Thanks.
241,Ses04F_impro04,Ses04F_impro04_M012,Look I'm sorry okay. It's just-
242,Ses04F_impro04,Ses04F_impro04_F011,Clearly everything you're doing is completely wrong.
243,Ses04F_impro04,Ses04F_impro04_M013,"I mean, well I mean i don't know; it doesn't really affect my life, you know."
244,Ses04F_impro04,Ses04F_impro04_F012,Well don't you understand that this is-
245,Ses04F_impro04,Ses04F_impro04_M014,"Yeah, I understand, but-"
246,Ses04F_impro04,Ses04F_impro04_F013,I don't even- I mean you have to have some kind of an idea. Something you could possibly throw out there that I could maybe use.
247,Ses04F_impro04,Ses04F_impro04_M015,"I don't know. Well like, I don't know. I mean-"
248,Ses04F_impro04,Ses04F_impro04_F014,I mean it's not like this is an
249,Ses04F_impro04,Ses04F_impro04_F015,extreme request. I want to find a job. Everybody wants to find a job. It's really not that.
250,Ses04F_impro04,Ses04F_impro04_M016,Clearly- cle- clearly you're doing something wrong.
251,Ses04F_impro04,Ses04F_impro04_F016,"Okay. Okay, Fine."
252,Ses04F_impro04,Ses04F_impro04_M017,"'Cause if you've been looking, you've been applying for jobs for three years. And-"
253,Ses04F_impro04,Ses04F_impro04_F017,Okey So I'm doing something wrong. What am I doing wrong?
254,Ses04F_impro04,Ses04F_impro04_F018,I'm really good at what I do. I'm smart. I'm trained. I have the education. I'm talented. I cannot-
255,Ses04F_impro04,Ses04F_impro04_M018,Are you- I mean do you like get dressed up and everything when you go to the job interview?
256,Ses04F_impro04,Ses04F_impro04_F019,Well yeah I mean I like take a shower and stuff.
257,Ses04F_impro04,Ses04F_impro04_M019,"And you like- you know, you shave your legs and everything?"
258,Ses04F_impro04,Ses04F_impro04_F020,[LAUGHTER] Yeah. Usually.
259,Ses04F_impro04,Ses04F_impro04_M020,"and I want- I mean you know you've got to, like, do your hair. I mean- I don't know, it's like,"
260,Ses04F_impro04,Ses04F_impro04_F021,"Yeah, I- I make my"
261,Ses04F_impro04,Ses04F_impro04_F022,I make myself very presentable before I go to any kind of interview.
262,Ses04F_impro04,Ses04F_impro04_M021,"you know what I mean? You know, it's like they say presentation is, like eighty percent."
263,Ses04F_impro04,Ses04F_impro04_M022,or some- some large percent of- of success.
264,Ses04F_impro04,Ses04F_impro04_F023,"Uhuh. Uhuh. Yeah, yeah. Good quote."
265,Ses04F_impro04,M:,
266,Ses04F_impro04,Ses04F_impro04_M023,"Because I don't know I mean just, you know, just keep- keep- keep at it. Keep trying. Go-"
267,Ses04F_impro04,Ses04F_impro04_F024,Buck-O. That's really helpful. Just keep chugging along. The little engine that could.
268,Ses04F_impro04,M:,just-
269,Ses04F_impro04,Ses04F_impro04_M024,"What do you want me to? Look, Hey look if I could- Don't get all sassy."
270,Ses04F_impro04,Ses04F_impro04_F025,Well you- just you're doing something wrong.
271,Ses04F_impro04,Ses04F_impro04_M025,"Look if I could give you a job,if I could give you a job I would but I mean I'm not in that position. I'm-"
272,Ses04F_impro04,Ses04F_impro04_F026,Well maybe you could help. I mean you've got a job. I'm willing to look outside of my realm. I could try something else.
273,Ses04F_impro04,Ses04F_impro04_M026,"Hey, I'd love to help you but I- you don't have the kind of training that I-"
274,Ses04F_impro04,Ses04F_impro04_F027,I'll get it. I just need a job. I don't care what it is.
275,Ses04F_impro04,Ses04F_impro04_M027,"So, go to McDonalds."
276,Ses04F_impro04,Ses04F_impro04_F028,Well I mean I need to make a little bit more than the minimum wage fry flipper.
277,Ses04F_impro04,Ses04F_impro04_M028,Well you've got to start somewhere. I mean-
278,Ses04F_impro04,Ses04F_impro04_F029,I did start somewhere. I worked my way up. I'm not going to start at the bottom again.
279,Ses04F_impro04,Ses04F_impro04_M029,Well you're going to have to. You don't really have an option. What's your problem?
280,Ses04F_impro04,Ses04F_impro04_F030,What's my problem? What's my problem? I don't have a job.
281,Ses04F_impro04,Ses04F_impro04_M030,I don't know it's like I'm trying to be-
282,Ses04F_impro04,Ses04F_impro04_F031,I thought I was pretty clear about what the problem was.
283,Ses04F_impro04,Ses04F_impro04_M031,I'm trying to be helpful.
284,Ses04F_impro04,Ses04F_impro04_M032,"I'm trying to be helpful and you're just, like, coming at me with, like, attacks."
285,Ses04F_impro04,Ses04F_impro04_F032,Well maybe you could be a little helpful. I mean obviously you don't have any problems so would it really take so much time out of your day to just go ahead and help somebody else.
286,Ses04F_impro04,Ses04F_impro04_M033,I'm trying to watch TV.
287,Ses04F_impro04,Ses04F_impro04_M034,I'm trying to watch TV. TV.
288,Ses04F_impro04,Ses04F_impro04_F033,That's important. That's really important.
289,Ses04F_impro05,Ses04F_impro05_M000,Welcome to Northwest Airlines. How can I help you?
290,Ses04F_impro05,Ses04F_impro05_F000,You guys lost my bag.
291,Ses04F_impro05,Ses04F_impro05_M001,Did you file a complaint already?
292,Ses04F_impro05,Ses04F_impro05_F001,Yeah. Yeah I did.
293,Ses04F_impro05,Ses04F_impro05_M002,Where? Did you do it at the front desk or by the baggage claims?
294,Ses04F_impro05,Ses04F_impro05_F002,"I-I don't know. The place where they told me to go. Look they told me to come talk to you because you guys lost my bag. Not it's late. Not it will be here soon, lost it completely. What are you going to do about that?"
295,Ses04F_impro05,Ses04F_impro05_M003,"Ma'am, first of all I'd like you to calm down. Second of all-"
296,Ses04F_impro05,Ses04F_impro05_F003,Look that bag has my entire life in it and you just lost it.
297,Ses04F_impro05,Ses04F_impro05_M004,I understand that ma'am.
298,Ses04F_impro05,Ses04F_impro05_F004,"Lost it just, like, I mean,"
299,Ses04F_impro05,Ses04F_impro05_M005,"Ma'am, I understand that."
300,Ses04F_impro05,Ses04F_impro05_F005,it's not like it just disappeared into thin air. Somebody wasn't paying attention
301,Ses04F_impro05,Ses04F_impro05_F006,"because my bag was very easy to keep track of. It's got big, you know, rainbow colored crap all over it and no one was paying attention because now it's just gone."
302,Ses04F_impro05,Ses04F_impro05_M006,"I understand that. The best I can do for you, at this moment, is give you fifty dollar check courtesy of Northwest Airlines for inconveniencing you in losing your luggage."
303,Ses04F_impro05,Ses04F_impro05_F007,Wait. What?
304,Ses04F_impro05,Ses04F_impro05_M007,"At this moment in time, all I can do for you is give you-"
305,Ses04F_impro05,Ses04F_impro05_F008,No. No. I heard- I heard what you said.
306,Ses04F_impro05,Ses04F_impro05_F009,"You're kidding me, right. You're going to give me fifty dollars to completely cover my bag, everything that was in it, the inconvenience that I've gone through. I paid for my ticket. All I expect is to safely get to my destination with my stuff. Is that so much to ask? I mean I really don't think that's that big a deal to ask you guys to have my bag in the place where I leave and then put my bag where I end up."
307,Ses04F_impro05,M:,ma'am.
308,Ses04F_impro05,Ses04F_impro05_M008,you're getting very excited right now
